ticker,nome_ativo,setor,tipo_ativo,moeda,created_at,updated_at
DQSN6,Araucaria Industria,SAUDE,ACAO,BRL,2022-04-09 18:23:39,2022-04-09 18:23:39
NWGB4,Pampa Companhia,ENERGIA,ACAO,BRL,2022-11-21 11:23:44,2022-11-21 11:23:44
UQJU7,Palmares Logistica FII,SAUDE,FII,BRL,2023-03-16 18:50:23,2023-03-16 18:50:23
IPXK2,Delta Companhia,VAREJO,ACAO,USD,2022-12-21 11:49:22,2022-12-21 11:49:22
AAUA7,Atlantico Global ETF,IMOBILIARIO,ETF,BRL,2022-11-18 18:14:56,2022-11-18 18:14:56
RSBT4,Zenite Group,SAUDE,ACAO,USD,2022-02-14 18:56:40,2022-02-14 18:56:40
ZHTL2,Tijuca Companhia,FINANCEIRO,ACAO,BRL,2022-01-28 16:07:07,2022-01-28 16:07:07
PQUT9,Duna Renda Imobiliaria FII,ENERGIA,FII,BRL,2023-04-18 18:11:29,2023-04-18 18:11:29
CQIL9,Rubi Participacoes,VAREJO,ACAO,BRL,2022-06-21 15:56:20,2022-06-21 15:56:20
MJDL9,Rubi S.A.,SAUDE,ACAO,BRL,2022-12-17 10:57:06,2022-12-17 10:57:06
EEYY9,Aurora Ampla ETF,TECNOLOGIA,ETF,BRL,2022-09-01 18:26:47,2022-09-01 18:26:47
IWFI1,Montara Global ETF,IMOBILIARIO,ETF,BRL,2023-01-23 12:54:50,2023-01-23 12:54:50
JIPR4,Rubi Companhia,SAUDE,ACAO,BRL,2023-04-20 14:10:26,2023-04-20 14:10:26
DEGN5,Piata Companhia,IMOBILIARIO,ACAO,BRL,2022-05-17 15:41:52,2022-05-17 15:41:52
SGBG8,Vertix S.A.,FINANCEIRO,ACAO,BRL,2022-12-09 17:34:20,2022-12-09 17:34:20
NGIU9,Montara Companhia,CONSUMO,ACAO,BRL,2022-09-28 15:41:01,2022-09-28 15:41:01
XTVW5,Pampa Dividendos ETF,FINANCEIRO,ETF,BRL,2022-10-24 13:30:28,2022-10-24 13:30:28
NREP8,Nautica Industria,IMOBILIARIO,ACAO,BRL,2022-07-09 10:28:35,2022-07-09 10:28:35
QQQS1,Quartzo Group,TECNOLOGIA,ACAO,BRL,2023-02-26 13:50:32,2023-02-26 13:50:32
MCMT2,Nautica Renda Imobiliaria FII,VAREJO,FII,BRL,2023-02-16 14:02:15,2023-02-16 14:02:15
UQIQ7,Safira Participacoes,IMOBILIARIO,ACAO,USD,2023-02-21 12:38:32,2023-02-21 12:38:32
MGRR2,Serrano Industria,INDUSTRIA,ACAO,BRL,2023-06-29 17:36:31,2023-06-29 17:36:31
